번호,원문,수정본,주제,수정유형,수정본글자수
11,이런 유혹은 수험생활을 쉽게 망치기 일쑤이었어요.,개인별 상황에 맞춘 관리와 피드백 덕분에 공부 방향을 잡고 꾸준히 실천할 수 있었어요.,general,주제 유지 후 길이·표현 통일,48
12,각 과목의 세세한 공부 방법과 멘탈 관리에 대한 상담을 받을 수 있었어요.,정기적인 상담을 통해 제 학습 상태를 객관적으로 돌아보고 필요한 공부 방향을 구체적으로 잡을 수 있었어요.,consult,주제 유지 후 길이·표현 통일,59
13,제가 모의고사를 풀거나 공부를 하며 많은 스트레스를 받았을 때 담임 선생님께 상담을 받아 많은 도움이 되었던 거 같았어요.,실전처럼 모의고사를 치르고 상담을 받으면서 시간 관리와 문제 풀이 전략을 점검할 수 있었어요.,mock,주제 유지 후 길이·표현 통일,52
14,"원장선생님께서 재원생 한명한명을 기억하시고, 마주치실때마다 공부잘되어가는지 여쭤봐주십니었어요.",학원 생활 전반이 체계적으로 관리되어 학습 습관을 만들고 유지하는 데 큰 도움이 되었어요.,general,주제 유지 후 길이·표현 통일,50
15,플래너는 결국 학생 개인의 공부 계획과 그 성취 여부를 잘 정리해놓은 자료이었어요.,플래너 관리를 통해 부족한 부분을 확인하고 다음 학습 계획에 바로 반영할 수 있었어요.,planner,주제 유지 후 길이·표현 통일,48
16,"이런 저에게 담임쌤과 국어, 수학 담당 원장님들이 재수 생활에 대한 전반적인 조언을 해주신 덕분에 안정적으로 수험 생활을 할 수 있었던 것 같았어요.",과목별 멘토링과 질의응답을 통해 막히는 부분을 빠르게 해결하고 제 수준에 맞는 공부법을 찾을 수 있었어요.,mentor,주제 유지 후 길이·표현 통일,59
17,"학습 상담, 생활 상담, 입시 상담까지 모두 윈터스쿨에서 그치는게 아니라 개학 후에까지 긍정적인 영향을 주고 있다고 생각했어요.","성적표를 바탕으로 현재 위치를 확인하고, 필요한 과목을 우선적으로 보완할 수 있었어요.",mock,주제 유지 후 길이·표현 통일,48
18,잠 관리가 잘 안되는 편이였는데 생활담임 선생님들이 아침에 깨워주셔서 규칙적인 학습루틴을 유지할 수 있었어요.,잠이 많아 걱정이었는데 생활 관리와 졸음 지도를 통해 규칙적인 학습 루틴을 만들 수 있었어요.,sleep,주제 유지 후 길이·표현 통일,52
19,휴대폰을 누군가 강제적으로 제출하게 해야 공부에 집중할 수 있었는데 이투스에서 그런 시스템을 가지고 관리를 해주어서 공부에 집중할 수 있었어요.,"휴대폰 관리 덕분에 불필요한 사용을 줄이고, 공부에 온전히 집중할 수 있었어요.",phone,주제 유지 후 길이·표현 통일,44
20,"현재 내가 모든 과목을 균형있게 골고루 공부하고 있는지, 계획이 너무 무리하진 않은지 플래너를 세세히 보시고 하나하나 피드백해 주신었어요.",주간 계획과 일일 계획을 함께 점검받아 공부 시간을 더 효율적으로 사용할 수 있었어요.,planner,주제 유지 후 길이·표현 통일,48
21,기출이나 N제 또한 진도와 성적에 맞는 교재로 추천해주셔서 성적 향상에 더 큰 도움을 받을 수 있었어요.,입시 상담과 성적 관리가 함께 이루어져 목표에 맞는 전략을 세우는 데 도움이 되었어요.,mock,주제 유지 후 길이·표현 통일,48
22,재수학원의 생활관리 시스템 중에서 특히 면학분위기 감독과 졸음 관리는 실제로 공부하는 데 있어 정말 많은 도움이 됐어요.,수시로 학습 분위기를 점검해주셔서 졸음을 줄이고 더 오래 집중하는 습관을 기를 수 있었어요.,sleep,주제 유지 후 길이·표현 통일,51
23,다른 독서실처럼 일방적으로 통제하기보다는 개인 상태에 맞춘 관리가 이루어져 훨씬 집중도 높은 학습이 가능했어요.,조용하고 집중된 학습 환경 덕분에 주변에 흔들리지 않고 공부 시간을 밀도 있게 보낼 수 있었어요.,atm,주제 유지 후 길이·표현 통일,54
24,매일 플래너를 점검받고 피드백을 얻으면서 완벽한 학습 루틴을 만들 수 있었어요.,선생님의 피드백을 바탕으로 과목별 학습 비중을 조절하며 균형 있게 공부할 수 있었어요.,planner,주제 유지 후 길이·표현 통일,48
25,지칠때 응원해주시며 동기부여해주시는게 수험생활의 소소한 낙이었어요.,선생님들의 꾸준한 관심과 따뜻한 격려 덕분에 힘든 수험 생활을 끝까지 이어갈 수 있었어요.,thanks,주제 유지 후 길이·표현 통일,50
26,학원의 면학 분위기가 매우 잘 조성되어 있어 공부에 집중하기에 좋은 환경이었어요.,엄격하지만 따뜻한 분위기 속에서 공부에만 집중할 수 있어 수험 생활에 큰 도움이 되었어요.,atm,주제 유지 후 길이·표현 통일,50
27,스트레스 없이 아이가 입시 공부에만 집중 할 수 있는 분위기 조성도 잘 해주신것 같았어요.,모의고사 이후 성적과 취약점을 함께 점검하며 다음 학습 방향을 구체적으로 세울 수 있었어요.,mock,주제 유지 후 길이·표현 통일,51
28,플래너를 쓰지 않았을때보다 더 체계적이고 효율적으로 공부할수 있었어요.,계획을 세우고 실천 여부를 확인하는 과정이 있어 하루를 더 밀도 있게 보낼 수 있었어요.,planner,주제 유지 후 길이·표현 통일,49
29,선생님이 직접 상담해주시는 시스템을 통해 스스로 세운 학습 계획이 올바르다는 것을 확인하고 계속해서 주도적으로 학습할 수 있었어요.,플래너 점검과 피드백을 통해 하루 공부량과 과목별 우선순위를 체계적으로 정리할 수 있었어요.,planner,주제 유지 후 길이·표현 통일,51
30,철저한 출결 및 생활 관리 시스템 덕분에 나태해지지 않고 꾸준히 순공 시간을 달성했어요.,출결과 생활 관리가 체계적으로 이루어져 나태해지지 않고 규칙적인 학습 습관을 유지할 수 있었어요.,attendance,주제 유지 후 길이·표현 통일,54
31,면학 분위기 관리와 감독이 잘 이루어져서 학습에 집중하기 좋은 환경이었어요.,주변 학생들도 함께 집중하는 환경이라 스스로 흐트러지지 않고 꾸준히 공부할 수 있었어요.,atm,주제 유지 후 길이·표현 통일,49
32,감독 시스템이 있어 집중력을 유지하는 데 큰 도움이 되었어요.,체계적으로 관리되는 자습 분위기 덕분에 학원에 오면 자연스럽게 공부 모드로 전환됐어요.,atm,주제 유지 후 길이·표현 통일,48
33,선생님들 모두모두 친절하게 대해주시고 생활 관리도 잘해주셔서 정말 감사했어요.,등·하원과 생활 패턴을 꾸준히 관리해주셔서 하루를 계획적으로 보내고 공부 리듬을 잡을 수 있었어요.,attendance,주제 유지 후 길이·표현 통일,55
34,솔직히 이런게 없으면 공부할 환경 자체가 만들어지지 않기에 더더욱 좋았던거 같았어요.,면학 분위기 관리가 꾸준히 이루어져 긴장감과 안정감을 함께 느끼며 공부할 수 있었어요.,atm,주제 유지 후 길이·표현 통일,48
35,멘토 선생님께서 수준에 맞는 문제집을 추천해 주시고 학습법을 알려주셔서 큰 도움이 되었어요.,담당 선생님들이 교재와 강의 선택까지 함께 고민해주셔서 더 효율적으로 학습할 수 있었어요.,mentor,주제 유지 후 길이·표현 통일,50
36,면학 분위기가 잘 조성되어 있어 자연스럽게 집중할 수 있었어요.,공부에 방해되는 요소가 줄어든 환경이라 하루 학습 시간을 더 효과적으로 활용할 수 있었어요.,atm,주제 유지 후 길이·표현 통일,51
37,"저는 2주에 한번씩 학습 상담울 받았었는데요, 저는 못하는 과목을 기피하는 성향이 있었는데,특히 영어가 그랬던 것 같았어요.",필요한 과목에 대해 구체적인 학습 방법과 자료를 추천받아 공부 방향을 잡는 데 큰 도움이 되었어요.,mentor,주제 유지 후 길이·표현 통일,55
38,계획짜는 방법이나 공부방법을 잘 몰랐어서 힘들었지만 선생님들의 조언과 말씀들 덕분에 공부를 어떻게 해야하는지 알게 되었어요.,매일 플래너를 확인받으며 계획을 실천하는 습관이 생겨 학습 루틴을 안정적으로 유지했어요.,planner,주제 유지 후 길이·표현 통일,49
39,반복해서 단어시험을 치기때문에 독해력에도 도움이 된것같았어요.,정기적인 성적 분석과 피드백을 통해 부족한 과목을 파악하고 보완 계획을 세우는 데 도움이 되었어요.,mock,주제 유지 후 길이·표현 통일,55
40,주변에 시끄러운 친구가 있을 때 피드백 반영이 빠르게 됐고 감독을 자주 하러 오셔서 졸지 않고 더 집중해서 공부할 수 있었어요.,졸음이 올 때마다 바로 다시 집중할 수 있도록 도와주셔서 공부 효율을 높일 수 있었어요.,sleep,주제 유지 후 길이·표현 통일,49
41,계획을 잘 마치겠다는 생각이 계속 공부를 열심히 하게 된 계기가 되었어요.,학습 계획을 구체적으로 세우고 점검받으면서 막연했던 공부 방향을 명확히 잡을 수 있었어요.,planner,주제 유지 후 길이·표현 통일,50
42,어디에서도 들어보지 못했던 실전적인 방법과 전략을 알려주셔서 과장 보태 감탄하면서 상담했던 것 같았어요.,실전처럼 모의고사를 치르고 상담을 받으면서 시간 관리와 문제 풀이 전략을 점검할 수 있었어요.,mock,주제 유지 후 길이·표현 통일,52
43,덕분에 규칙적인 생활 습관도 함께 잡을 수 있었고 집중하는 시간도 점점 늘어서 학습에 도움이 많이 됐어요.,생활 관리 시스템 덕분에 지각과 결석을 줄이고 학원에서의 학습 시간을 안정적으로 확보할 수 있었어요.,attendance,주제 유지 후 길이·표현 통일,56
44,엄격하지만 따뜻한 면학 분위기 속에서 오직 학습에만 100% 몰입할 수 있었어요.,면학 분위기가 잘 조성되어 있어 학원에 있는 동안 자연스럽게 공부에 몰입할 수 있었어요.,atm,주제 유지 후 길이·표현 통일,49
45,수험생의 상태를 성적뿐 아니라 그 이외의 것 들도 수험생활에 집중 할 수 있도록 상담해주셨어요.,"성적표를 바탕으로 현재 위치를 확인하고, 필요한 과목을 우선적으로 보완할 수 있었어요.",mock,주제 유지 후 길이·표현 통일,48
46,졸음 관리와 생활 습관 교정에도 큰 도움을 준었어요.,졸음 관리와 생활 지도를 꾸준히 해주셔서 집중력이 떨어질 때도 다시 학습 흐름을 회복할 수 있었어요.,sleep,주제 유지 후 길이·표현 통일,56
47,"학습 상담뿐만 아니라 졸음을 느낄 때, 집중력이 흐려질 때 등 생활 상담에 대해서도 해답을 주셔서 좋았어요.",공부 중 졸릴 때마다 적절히 관리해주신 덕분에 순공 시간을 지키고 집중력을 유지할 수 있었어요.,sleep,주제 유지 후 길이·표현 통일,53
48,어려움이 있어서 찾아갔을 때에도 저와 함께 최선의 방법으로 갈 수 있도록 진심을 다해 상담해주셔서 많은 용기 얻을 수 있었어요.,담임 선생님의 학습 상담과 멘탈 케어 덕분에 흔들릴 때마다 다시 마음을 잡고 공부할 수 있었어요.,consult,주제 유지 후 길이·표현 통일,54
49,"친절한 상담으로 멘탈을 잡아주시면서도, 공부할 때는 확실하게 관리해 주시는 시스템 덕분에 효율적으로 성적을 올릴 수 있는 환경이었어요.",입시 상담과 성적 관리가 함께 이루어져 목표에 맞는 전략을 세우는 데 도움이 되었어요.,mock,주제 유지 후 길이·표현 통일,48
50,"매달 치는 모의고사를 통해 담임선생님과 상담을 하면서 취약 과목 분석, 방향성 제시, 나의 위치 등의 전문적인 정보를 얻을 수 있었어요.",모의고사 이후 성적과 취약점을 함께 점검하며 다음 학습 방향을 구체적으로 세울 수 있었어요.,mock,주제 유지 후 길이·표현 통일,51
51,담임 선생님의 세심한 멘탈 케어와 학습 상담이 수험 생활의 큰 버팀목이 되었어요.,상담 과정에서 제 상황에 맞는 조언을 받을 수 있어 수험 생활을 더 안정적으로 이어갈 수 있었어요.,consult,주제 유지 후 길이·표현 통일,55
52,면학 분위기가 잘 유지된다는 점에서 집중하는 데 큰 도움이 됐어요.,조용하고 집중된 학습 환경 덕분에 주변에 흔들리지 않고 공부 시간을 밀도 있게 보낼 수 있었어요.,atm,주제 유지 후 길이·표현 통일,54
53,매일 플래너를 점검받고 피드백을 얻으면서 완벽한 학습 루틴을 만들 수 있었어요.,플래너 관리를 통해 부족한 부분을 확인하고 다음 학습 계획에 바로 반영할 수 있었어요.,planner,주제 유지 후 길이·표현 통일,48
54,"단순히 자습 시간만 부여하는 것이 아니라, 플래너 점검과 엄격한 생활 관리를 통해 버려지는 시간을 최소화할 수 있었어요.",주간 계획과 일일 계획을 함께 점검받아 공부 시간을 더 효율적으로 사용할 수 있었어요.,planner,주제 유지 후 길이·표현 통일,48
55,플래너 쓰기 귀찮아서 대충 썼었는데 플래너 검사를 통해 해야 되는 것을 가시화하는 습관을 만들게 되어 수험생활에 큰 도움이 되었어요.,선생님의 피드백을 바탕으로 과목별 학습 비중을 조절하며 균형 있게 공부할 수 있었어요.,planner,주제 유지 후 길이·표현 통일,48
56,생활관리 시스템중에서 특히 유용했던점은 전자출결 시스템을 이용해서 일일이 확인하는일이 없어 서로 번거로운일 없이 출석체크가 가능했어요.,정해진 시간표에 맞춰 생활하다 보니 수험 생활에 필요한 규칙성과 책임감이 자연스럽게 생겼어요.,attendance,주제 유지 후 길이·표현 통일,52
57,개인별 맞춤 관리에 공부를 하고자 하는 의욕이 생겼었어요.,공부에 필요한 환경과 상담이 함께 제공되어 수험 생활을 안정적으로 이어갈 수 있었어요.,general,주제 유지 후 길이·표현 통일,48
58,철저한 출결 및 생활 관리 시스템 덕분에 나태해지지 않고 꾸준히 순공 시간을 달성했어요.,체계적인 생활 관리가 있어 흐트러지기 쉬운 시기에도 꾸준한 공부 습관을 유지할 수 있었어요.,attendance,주제 유지 후 길이·표현 통일,51
59,엄격하지만 따뜻한 면학 분위기 속에서 오직 학습에만 100% 몰입할 수 있었어요.,엄격하지만 따뜻한 분위기 속에서 공부에만 집중할 수 있어 수험 생활에 큰 도움이 되었어요.,atm,주제 유지 후 길이·표현 통일,50
60,수학또한 강사님을 먼저 골라주시고 거기서 저의 수준에 맞게 강의를 골라주셔서 그나마 더 나은 성적이 나오게 되었어요.,정기적인 성적 분석과 피드백을 통해 부족한 과목을 파악하고 보완 계획을 세우는 데 도움이 되었어요.,mock,주제 유지 후 길이·표현 통일,55
61,"학습 상담을 받으면서 제 상태를 객관적으로 돌아볼 수 있었고, 멘탈을 정리하는 데 큰 도움이 되었어요.",학습과 생활 전반을 함께 상담해주셔서 공부 외적인 불안까지 정리하고 집중력을 회복할 수 있었어요.,consult,주제 유지 후 길이·표현 통일,54
62,옆에서 도움받지 않고서는 절대 혼자 못했을 결과받게 해주셔서 감사했어요.,체계적인 관리와 꾸준한 상담 덕분에 공부 습관이 달라졌고 목표에 한 걸음 더 가까워질 수 있었어요.,outcome,주제 유지 후 길이·표현 통일,55
63,"누가 직접 옆에서 관리해주는 것은 아니지만, 기록을 남기고 계획을 확인하는 과정 자체가 스스로를 통제하게 만들어서 공부 흐름이 끊기지 않았어요.",계획을 세우고 실천 여부를 확인하는 과정이 있어 하루를 더 밀도 있게 보낼 수 있었어요.,planner,주제 유지 후 길이·표현 통일,49
64,"아무리 넓은 공간이어도 사람으로 꽉채워 다닥다닥 붙어있다보면, 집중력이 흐트러지거나 상대에게 영향을 주거나 영향을 받기 마련이었어요.",주변 학생들도 함께 집중하는 환경이라 스스로 흐트러지지 않고 꾸준히 공부할 수 있었어요.,atm,주제 유지 후 길이·표현 통일,49
65,담임 선생님의 세심한 멘탈 케어와 학습 상담이 수험 생활의 큰 버팀목이 되었어요.,혼자 고민하던 부분을 상담으로 정리할 수 있어 학습 방향을 잡는 데 큰 도움이 되었어요.,consult,주제 유지 후 길이·표현 통일,49
66,출결관리도 해주시고 졸거나 집중안될 때 도와주시고 면학분위기 조성해주셔서 감사했어요.,잠이 많아 걱정이었는데 생활 관리와 졸음 지도를 통해 규칙적인 학습 루틴을 만들 수 있었어요.,sleep,주제 유지 후 길이·표현 통일,52
67,이런 생활 관리 시스템 덕분에 학습 습관이 규칙적으로 잡히고 성과 향상에 큰 도움이 되었어요.,출결과 생활 관리가 체계적으로 이루어져 나태해지지 않고 규칙적인 학습 습관을 유지할 수 있었어요.,attendance,주제 유지 후 길이·표현 통일,54
68,졸음도 가끔 들어오셔서 돌아다니시면서 깨워주시는데 그것 덕에 졸음도 깨고 공부 집중에 도움이 되었어요.,수시로 학습 분위기를 점검해주셔서 졸음을 줄이고 더 오래 집중하는 습관을 기를 수 있었어요.,sleep,주제 유지 후 길이·표현 통일,51
69,"학습에 관해 고민이 있거나 번아웃이 오면 담임선생님께 편하게 질문, 상담한 것이 좋았어요.",선생님과 꾸준히 이야기를 나누며 슬럼프를 극복하고 다시 공부에 몰입할 수 있었어요.,consult,주제 유지 후 길이·표현 통일,46
70,뿐만 아니라 보통 1년동안 담당 해주실 담임 선생님이 정해지기 때문에 계속 같은 데이터와 정보를 가지고 상담 해주신었어요.,현재 학습 상황에 맞춘 현실적인 조언을 받아 계획을 수정하고 실천하는 데 도움이 되었어요.,consult,주제 유지 후 길이·표현 통일,50
71,멘탈이 흔들릴 때마다 좋은 말씀들로 위로해주셔서 힘든 생활을 버틸 수 있었던 것 같았어요.,정기적인 상담을 통해 제 학습 상태를 객관적으로 돌아보고 필요한 공부 방향을 구체적으로 잡을 수 있었어요.,consult,주제 유지 후 길이·표현 통일,59
72,"잠을 자도 절제없이 잠을 자던 것이 많았고, 또 저 뿐만이 아닌 타 학생의 자는 모습 등을 관리해 주시니 공부 분위기 형성에 좋았어요.",졸음이 올 때마다 바로 다시 집중할 수 있도록 도와주셔서 공부 효율을 높일 수 있었어요.,sleep,주제 유지 후 길이·표현 통일,49
73,실전과 유사한 환경을 경험하며 시간 관리와 문제 풀이 전략을 점검하는 데 도움이 되었어요.,실전처럼 모의고사를 치르고 상담을 받으면서 시간 관리와 문제 풀이 전략을 점검할 수 있었어요.,mock,주제 유지 후 길이·표현 통일,52
74,꾸준한 학습을 해야지만 효과가 드러나는 공부이므로 매일 아침 영단어 시험을 규칙적으로 본 것이 영어실력 향상에 도움을 받았어요.,등·하원과 생활 패턴을 꾸준히 관리해주셔서 하루를 계획적으로 보내고 공부 리듬을 잡을 수 있었어요.,attendance,주제 유지 후 길이·표현 통일,55
75,"국어 멘토링을 통해 제 부족한 점을 날카롭게 짚어주시고, 1대1 플래너 상담으로 막막했던 학습 방향을 잡아주신 덕분에 큰 힘이 되었어요.",플래너 점검과 피드백을 통해 하루 공부량과 과목별 우선순위를 체계적으로 정리할 수 있었어요.,planner,주제 유지 후 길이·표현 통일,51
76,매일 플래너를 점검받고 피드백을 얻으면서 완벽한 학습 루틴을 만들 수 있었어요.,매일 플래너를 확인받으며 계획을 실천하는 습관이 생겨 학습 루틴을 안정적으로 유지했어요.,planner,주제 유지 후 길이·표현 통일,49
77,덕분에 학습에 대한 자신감이 생겼고 성적도 많이 향상되었어요.,"성적표를 바탕으로 현재 위치를 확인하고, 필요한 과목을 우선적으로 보완할 수 있었어요.",mock,주제 유지 후 길이·표현 통일,48
78,재수 생활을 시작하며 막막했던 제게 학습코칭은 단순한 스케줄 관리를 넘어선 '터닝 포인트'였어요.,담임 선생님의 학습 상담과 멘탈 케어 덕분에 흔들릴 때마다 다시 마음을 잡고 공부할 수 있었어요.,consult,주제 유지 후 길이·표현 통일,54
79,등원하고 하원할 때마다 반갑게 맞아주시는 카운터 선생님들 감사를 드리고 상담도 잘해주시고 항상 학생들 예뻐해 주시는 원장선생님께도 감사드립니었어요.,생활 관리 시스템 덕분에 지각과 결석을 줄이고 학원에서의 학습 시간을 안정적으로 확보할 수 있었어요.,attendance,주제 유지 후 길이·표현 통일,56
80,이투스에 플래너 관리 시스템은 하루 단위로 학습 계획을 구체적으로 세우고 실천하도록 도와주어 시간 낭비를 줄이고 효율적인 공부가 가능하게 해주었어요.,학습 계획을 구체적으로 세우고 점검받으면서 막연했던 공부 방향을 명확히 잡을 수 있었어요.,planner,주제 유지 후 길이·표현 통일,50
81,매달 치르는 모의고사 성적표로 개인 상담을 진행했을때 과목별로 현재 부족한 점과 보안할 점을 자세히 알려주셨었어요.,입시 상담과 성적 관리가 함께 이루어져 목표에 맞는 전략을 세우는 데 도움이 되었어요.,mock,주제 유지 후 길이·표현 통일,48
82,공부에만 더욱 집중할 수 있었어요.,체계적으로 관리되는 자습 분위기 덕분에 학원에 오면 자연스럽게 공부 모드로 전환됐어요.,atm,주제 유지 후 길이·표현 통일,48
83,학습과 생활 전반을 꼼꼼히 챙겨 주셔서 진심으로 감사드립니었어요.,학습과 생활 전반을 세심하게 챙겨주신 선생님들 덕분에 안정적으로 공부에 집중할 수 있었어요.,thanks,주제 유지 후 길이·표현 통일,51
84,종례때마다 해주시는 덕담과 조언이 재수생활 많은 도움이 됐던것 같았어요.,상담 과정에서 제 상황에 맞는 조언을 받을 수 있어 수험 생활을 더 안정적으로 이어갈 수 있었어요.,consult,주제 유지 후 길이·표현 통일,55
85,"면학 분위기와 졸음 관리를 보고 학원에 등록했을 정도로 이를 중요하게 생각하였는데, 관리가 매우 철저하게 이루어져 학습에 큰 도움이 되었어요.",졸음 관리와 생활 지도를 꾸준히 해주셔서 집중력이 떨어질 때도 다시 학습 흐름을 회복할 수 있었어요.,sleep,주제 유지 후 길이·표현 통일,56
86,항상 웃음으로 대해주셔서 힘든 반수생 생활이 덕분에 덜 힘들었어요.,체계적인 학습 관리와 안정적인 분위기 덕분에 수험 생활 동안 공부에 집중할 수 있었어요.,general,주제 유지 후 길이·표현 통일,49
87,"학습멘토 선생님들은 국어, 수학 두분이셨는데 특히나 수학에서 너무나많은 도움을 받았었어요.",질문이 생겼을 때 빠르게 도움을 받을 수 있어 어려운 부분을 오래 미루지 않고 해결할 수 있었어요.,mentor,주제 유지 후 길이·표현 통일,55
88,철저한 출결 및 생활 관리 시스템 덕분에 나태해지지 않고 꾸준히 순공 시간을 달성했어요.,정해진 시간표에 맞춰 생활하다 보니 수험 생활에 필요한 규칙성과 책임감이 자연스럽게 생겼어요.,attendance,주제 유지 후 길이·표현 통일,52
89,관리를 해주는 사람이 있으니 경고나 졸음주의를 받지 않도록 생활을 해야겠다 생각을 했던것 같았어요.,공부 중 졸릴 때마다 적절히 관리해주신 덕분에 순공 시간을 지키고 집중력을 유지할 수 있었어요.,sleep,주제 유지 후 길이·표현 통일,53
90,엄격하지만 따뜻한 면학 분위기 속에서 오직 학습에만 100% 몰입할 수 있었어요.,면학 분위기 관리가 꾸준히 이루어져 긴장감과 안정감을 함께 느끼며 공부할 수 있었어요.,atm,주제 유지 후 길이·표현 통일,48
91,"공부 시간과 휴식 시간을 균형 있게 조절할 수 있어 집중력이 높아졌고, 스스로 계획을 지키는 습관을 기르는 데 큰 도움이 되었어요.",플래너 관리를 통해 부족한 부분을 확인하고 다음 학습 계획에 바로 반영할 수 있었어요.,planner,주제 유지 후 길이·표현 통일,48
92,좋은 학습 분위기를 제공해주셔서 감사드립니었어요.,공부에 방해되는 요소가 줄어든 환경이라 하루 학습 시간을 더 효과적으로 활용할 수 있었어요.,atm,주제 유지 후 길이·표현 통일,51
93,한 과목에만 집중하면 다른 과목으로 넘어가라는 피드백도 받을 수 있었어요.,면학 분위기가 잘 조성되어 있어 학원에 있는 동안 자연스럽게 공부에 몰입할 수 있었어요.,atm,주제 유지 후 길이·표현 통일,49
94,개인별 맞춤형으로 진행되는 1대1 상담 시스템이 수험 생활에 큰 도움이 되었어요.,학습과 생활 전반을 함께 상담해주셔서 공부 외적인 불안까지 정리하고 집중력을 회복할 수 있었어요.,consult,주제 유지 후 길이·표현 통일,54
95,"수면패턴과 낮잠 시간등의 조화를 깨닫게해주심, 원래 잠이 많은 학생이라 고치고 싶었는데 이 과정에 많은 도움을 주셨었어요.",잠이 많아 걱정이었는데 생활 관리와 졸음 지도를 통해 규칙적인 학습 루틴을 만들 수 있었어요.,sleep,주제 유지 후 길이·표현 통일,52
96,학습환경 학습 분위기 등을 잡아주셔서 도움이 되었어요.,조용하고 집중된 학습 환경 덕분에 주변에 흔들리지 않고 공부 시간을 밀도 있게 보낼 수 있었어요.,atm,주제 유지 후 길이·표현 통일,54
97,학원 다닐 때 너무 스트레스를 많이 받았는데 담임 선생님과 상담을 받으면서 많이 극복했어요.,혼자 고민하던 부분을 상담으로 정리할 수 있어 학습 방향을 잡는 데 큰 도움이 되었어요.,consult,주제 유지 후 길이·표현 통일,49
98,학습 환경이 적절한지 체크하며 관리해주셔서 편하게 공부할 수 있었어요.,엄격하지만 따뜻한 분위기 속에서 공부에만 집중할 수 있어 수험 생활에 큰 도움이 되었어요.,atm,주제 유지 후 길이·표현 통일,50
99,어려운 문제가 있을 때 온라인이나 오프라인으로 상담 신청을 하면 바로 답변을 해주셔서 더 편리하게 공부할 수 있었어요.,선생님과 꾸준히 이야기를 나누며 슬럼프를 극복하고 다시 공부에 몰입할 수 있었어요.,consult,주제 유지 후 길이·표현 통일,46
100,"올해도 건강하시고, 행복한 한해 되시길 바라요 덕분에 원하는 대학 왔구 정신적으로든 성적으로든 도움 너무 많이 받았고, 조만간 한번 찾아뵙겠었어요.",모의고사 이후 성적과 취약점을 함께 점검하며 다음 학습 방향을 구체적으로 세울 수 있었어요.,mock,"주제 유지 후 길이·표현 통일, 실명/지점/특정 정보 제거",51
