번호,원문,재수정본,글자수
27,스트레스 없이 아이가 입시 공부에만 집중 할 수 있는 분위기 조성도 잘 해주신것 같았어요.,입시 전략 상담을 바탕으로 결과를 감정적으로만 보지 않고 분석할 수 있었고 학습 태도도 자연스럽게 좋아졌어요,60
28,플래너를 쓰지 않았을때보다 더 체계적이고 효율적으로 공부할수 있었어요.,플래너 관리를 받으며 목표와 결과를 비교하며 학습 방향을 조정할 수 있었고 꾸준함을 유지하는 데 도움이 됐어요,61
29,선생님이 직접 상담해주시는 시스템을 통해 스스로 세운 학습 계획이 올바르다는 것을 확인하고 계속해서 주도적으로 학습할 수 있었어요.,취약 과목 보완 계획을 피드백받아 과목별 균형을 맞추며 공부하는 데 도움이 됐어요,45
30,철저한 출결 및 생활 관리 시스템 덕분에 나태해지지 않고 꾸준히 순공 시간을 달성했어요.,출결 관리는 체계적으로 이루어져 작은 습관까지 바로잡으며 집중 시간을 늘렸고 공부 방향을 잡는 데 도움이 됐어요,62
31,면학 분위기 관리와 감독이 잘 이루어져서 학습에 집중하기 좋은 환경이었어요.,면학 분위기 관리와 피드백으로 흐트러지지 않고 계획을 지키는 데 도움이 됐고 하루 흐름도 더 안정적으로 이어졌어요,63
32,감독 시스템이 있어 집중력을 유지하는 데 큰 도움이 되었어요.,학습에 맞춰진 공간 덕분에 차분한 긴장감 속에서 집중력을 유지할 수 있었고 집중 시간을 늘리는 데 도움이 됐어요,62
33,선생님들 모두모두 친절하게 대해주시고 생활 관리도 잘해주셔서 정말 감사했어요.,전자출결 시스템이 체계적으로 운영되어 수험 생활의 기본 습관을 잡을 수 있었어요,44
34,솔직히 이런게 없으면 공부할 환경 자체가 만들어지지 않기에 더더욱 좋았던거 같았어요.,관리되는 공부 분위기 덕분에 흐트러지지 않고 계획을 지키는 데 도움이 됐고 공부 루틴도 더 안정됐어요,56
35,멘토 선생님께서 수준에 맞는 문제집을 추천해 주시고 학습법을 알려주셔서 큰 도움이 되었어요.,교재 추천 덕분에 제 수준에 맞는 자료로 학습 흐름을 이어갈 수 있었고 학습 태도도 자연스럽게 좋아졌어요,58
36,면학 분위기가 잘 조성되어 있어 자연스럽게 집중할 수 있었어요.,면학 분위기 관리와 피드백으로 함께 노력하는 분위기에서 동기부여를 받을 수 있었어요,46
37,"저는 2주에 한번씩 학습 상담울 받았었는데요, 저는 못하는 과목을 기피하는 성향이 있었는데,특히 영어가 그랬던 것 같았어요.",영단어 시험 덕분에 어휘 학습을 꾸준히 이어가며 독해 자신감을 키웠고 스스로 관리하는 힘도 생겼어요,55
38,계획짜는 방법이나 공부방법을 잘 몰랐어서 힘들었지만 선생님들의 조언과 말씀들 덕분에 공부를 어떻게 해야하는지 알게 되었어요.,공부량 관리는 꾸준히 이어져 학습 흐름이 끊기지 않도록 관리받을 수 있었고 공부 방향을 잡는 데 도움이 됐어요,61
39,반복해서 단어시험을 치기때문에 독해력에도 도움이 된것같았어요.,영단어 시험을 반복하며 어휘 부족을 확인하고 꾸준히 보완할 수 있었고 하루 흐름도 더 안정적으로 이어졌어요,59
40,주변에 시끄러운 친구가 있을 때 피드백 반영이 빠르게 됐고 감독을 자주 하러 오셔서 졸지 않고 더 집중해서 공부할 수 있었어요.,안정적인 자습 분위기는 잘 유지되어 혼자 공부할 때보다 더 꾸준히 몰입할 수 있었어요,47
41,계획을 잘 마치겠다는 생각이 계속 공부를 열심히 하게 된 계기가 되었어요.,자기 점검 습관은 꾸준히 이어져 막연했던 계획을 구체적인 실천으로 바꿀 수 있었어요,46
42,어디에서도 들어보지 못했던 실전적인 방법과 전략을 알려주셔서 과장 보태 감탄하면서 상담했던 것 같았어요.,1대1 상담이 정기적으로 진행되어 학습 상태를 돌아보고 우선순위를 정할 수 있었어요,46
43,덕분에 규칙적인 생활 습관도 함께 잡을 수 있었고 집중하는 시간도 점점 늘어서 학습에 도움이 많이 됐어요.,생활 습관 지도는 체계적으로 이루어져 수능에 맞춘 생활 패턴을 익힐 수 있었어요,44
44,엄격하지만 따뜻한 면학 분위기 속에서 오직 학습에만 100% 몰입할 수 있었어요.,면학 분위기 관리와 피드백으로 스스로도 공부 태도를 더 신경 쓰게 됐고 꾸준함을 유지하는 데 도움이 됐어요,59
45,수험생의 상태를 성적뿐 아니라 그 이외의 것 들도 수험생활에 집중 할 수 있도록 상담해주셨어요.,성적표 피드백이 꾸준히 진행되어 시험 전략을 점검하며 실수를 줄일 수 있었고 스스로 관리하는 힘도 생겼어요,59
46,졸음 관리와 생활 습관 교정에도 큰 도움을 준었어요.,졸음 관리는 체계적으로 이루어져 아침부터 일정한 리듬으로 공부를 시작할 수 있었어요,46
47,"학습 상담뿐만 아니라 졸음을 느낄 때, 집중력이 흐려질 때 등 생활 상담에 대해서도 해답을 주셔서 좋았어요.",생활 상담이 정기적으로 진행되어 슬럼프가 올 때 다시 방향을 잡을 수 있었고 하루 흐름도 더 안정적으로 이어졌어요,63
48,어려움이 있어서 찾아갔을 때에도 저와 함께 최선의 방법으로 갈 수 있도록 진심을 다해 상담해주셔서 많은 용기 얻을 수 있었어요.,생활 상담이 정기적으로 진행되어 작은 고민도 편하게 나눌 수 있어 안정감이 생겼어요,46
49,"친절한 상담으로 멘탈을 잡아주시면서도, 공부할 때는 확실하게 관리해 주시는 시스템 덕분에 효율적으로 성적을 올릴 수 있는 환경이었어요.",성적표 피드백이 꾸준히 진행되어 시험 후 흔들리지 않고 다시 준비할 수 있었어요,44
50,"매달 치는 모의고사를 통해 담임선생님과 상담을 하면서 취약 과목 분석, 방향성 제시, 나의 위치 등의 전문적인 정보를 얻을 수 있었어요.",모의고사 분석이 꾸준히 진행되어 목표에 맞는 현실적인 전략을 세울 수 있었고 공부 루틴도 더 안정됐어요,57
51,담임 선생님의 세심한 멘탈 케어와 학습 상담이 수험 생활의 큰 버팀목이 되었어요.,생활 상담이 정기적으로 진행되어 취약점을 객관적으로 확인하고 보완 계획을 세웠어요,45
52,면학 분위기가 잘 유지된다는 점에서 집중하는 데 큰 도움이 됐어요.,면학 분위기 관리와 피드백으로 규칙을 지키며 안정적으로 생활할 수 있었고 꾸준함을 유지하는 데 도움이 됐어요,60
53,매일 플래너를 점검받고 피드백을 얻으면서 완벽한 학습 루틴을 만들 수 있었어요.,플래너 관리는 꾸준히 이어져 과목별 우선순위를 정해 효율적으로 공부할 수 있었어요,45
54,"단순히 자습 시간만 부여하는 것이 아니라, 플래너 점검과 엄격한 생활 관리를 통해 버려지는 시간을 최소화할 수 있었어요.",플래너 관리 관리와 피드백으로 공부 습관을 안정적으로 만들 수 있었고 공부 방향을 잡는 데 도움이 됐어요,58
55,플래너 쓰기 귀찮아서 대충 썼었는데 플래너 검사를 통해 해야 되는 것을 가시화하는 습관을 만들게 되어 수험생활에 큰 도움이 되었어요.,플래너 관리 관리와 피드백으로 해야 할 일을 눈으로 확인하며 집중력을 높였고 하루 흐름도 더 안정적으로 이어졌어요,63
56,생활관리 시스템중에서 특히 유용했던점은 전자출결 시스템을 이용해서 일일이 확인하는일이 없어 서로 번거로운일 없이 출석체크가 가능했어요.,출결 관리 관리와 피드백으로 순공 시간을 꾸준히 확보할 수 있었고 집중 시간을 늘리는 데 도움이 됐어요,57
57,개인별 맞춤 관리에 공부를 하고자 하는 의욕이 생겼었어요.,공부에 집중된 공간 덕분에 공부에 필요한 긴장감을 적절히 유지할 수 있었고 수험 생활에도 큰 도움이 됐어요,59
58,철저한 출결 및 생활 관리 시스템 덕분에 나태해지지 않고 꾸준히 순공 시간을 달성했어요.,출결 관리 관리와 피드백으로 아침부터 일정한 리듬으로 공부를 시작할 수 있었어요,44
59,엄격하지만 따뜻한 면학 분위기 속에서 오직 학습에만 100% 몰입할 수 있었어요.,면학 분위기 관리와 피드백으로 쾌적한 환경에서 학습 효율을 높일 수 있었고 학습 태도도 자연스럽게 좋아졌어요,60
60,수학또한 강사님을 먼저 골라주시고 거기서 저의 수준에 맞게 강의를 골라주셔서 그나마 더 나은 성적이 나오게 되었어요.,성적표 피드백이 꾸준히 진행되어 실제 시험과 비슷한 긴장감을 경험할 수 있었어요,44
61,"학습 상담을 받으면서 제 상태를 객관적으로 돌아볼 수 있었고, 멘탈을 정리하는 데 큰 도움이 되었어요.",멘탈 상담이 정기적으로 진행되어 작은 고민도 편하게 나눌 수 있어 안정감이 생겼어요,46
62,옆에서 도움받지 않고서는 절대 혼자 못했을 결과받게 해주셔서 감사했어요.,선생님들의 관심 관리와 피드백으로 힘든 수험 생활을 버티는 데 큰 힘이 됐고 공부 방향을 잡는 데 도움이 됐어요,62
63,"누가 직접 옆에서 관리해주는 것은 아니지만, 기록을 남기고 계획을 확인하는 과정 자체가 스스로를 통제하게 만들어서 공부 흐름이 끊기지 않았어요.",일일 학습 계획은 꾸준히 이어져 공부량을 꾸준히 관리하며 루틴을 유지할 수 있었어요,46
64,"아무리 넓은 공간이어도 사람으로 꽉채워 다닥다닥 붙어있다보면, 집중력이 흐트러지거나 상대에게 영향을 주거나 영향을 받기 마련이었어요.",면학 분위기 관리와 피드백으로 공부에 필요한 긴장감을 적절히 유지할 수 있었어요,44
65,담임 선생님의 세심한 멘탈 케어와 학습 상담이 수험 생활의 큰 버팀목이 되었어요.,생활 상담이 정기적으로 진행되어 학습 상태를 돌아보고 우선순위를 정할 수 있었어요,45
66,출결관리도 해주시고 졸거나 집중안될 때 도와주시고 면학분위기 조성해주셔서 감사했어요.,출결 관리 관리와 피드백으로 휴식과 학습의 균형을 잡는 데 도움이 됐고 공부 루틴도 더 안정됐어요,54
67,이런 생활 관리 시스템 덕분에 학습 습관이 규칙적으로 잡히고 성과 향상에 큰 도움이 되었어요.,수능 시간표 생활은 체계적으로 이루어져 수험 생활의 기본 습관을 잡을 수 있었어요,45
68,졸음도 가끔 들어오셔서 돌아다니시면서 깨워주시는데 그것 덕에 졸음도 깨고 공부 집중에 도움이 되었어요.,졸음 관리 관리와 피드백으로 수능에 맞춘 생활 패턴을 익힐 수 있었고 꾸준함을 유지하는 데 도움이 됐어요,58
69,"학습에 관해 고민이 있거나 번아웃이 오면 담임선생님께 편하게 질문, 상담한 것이 좋았어요.",멘탈 상담이 정기적으로 진행되어 학습 상태를 돌아보고 우선순위를 정할 수 있었어요,45
70,뿐만 아니라 보통 1년동안 담당 해주실 담임 선생님이 정해지기 때문에 계속 같은 데이터와 정보를 가지고 상담 해주신었어요.,학습 코칭은 정기적으로 진행되어 학습 상태를 돌아보고 우선순위를 정할 수 있었어요,45
71,멘탈이 흔들릴 때마다 좋은 말씀들로 위로해주셔서 힘든 생활을 버틸 수 있었던 것 같았어요.,생활 상담이 정기적으로 진행되어 혼자 고민하던 부분을 함께 해결할 수 있었고 하루 흐름도 더 안정적으로 이어졌어요,63
72,"잠을 자도 절제없이 잠을 자던 것이 많았고, 또 저 뿐만이 아닌 타 학생의 자는 모습 등을 관리해 주시니 공부 분위기 형성에 좋았어요.",졸음 관리 관리와 피드백으로 혼자 통제하기 어려운 부분을 관리받을 수 있었고 집중 시간을 늘리는 데 도움이 됐어요,63
73,실전과 유사한 환경을 경험하며 시간 관리와 문제 풀이 전략을 점검하는 데 도움이 되었어요.,조용한 자습 환경은 잘 유지되어 수험생에게 필요한 분위기가 잘 갖춰져 있었고 수험 생활에도 큰 도움이 됐어요,60
74,꾸준한 학습을 해야지만 효과가 드러나는 공부이므로 매일 아침 영단어 시험을 규칙적으로 본 것이 영어실력 향상에 도움을 받았어요.,영단어 시험 관리와 피드백으로 취약한 단원을 꾸준히 보완할 수 있었고 공부 루틴도 더 안정됐어요,53
75,"국어 멘토링을 통해 제 부족한 점을 날카롭게 짚어주시고, 1대1 플래너 상담으로 막막했던 학습 방향을 잡아주신 덕분에 큰 힘이 되었어요.",플래너 관리 관리와 피드백으로 성취감을 느끼며 꾸준히 공부할 수 있었고 학습 태도도 자연스럽게 좋아졌어요,58
76,매일 플래너를 점검받고 피드백을 얻으면서 완벽한 학습 루틴을 만들 수 있었어요.,플래너 관리 관리와 피드백으로 하루 공부 흐름을 체계적으로 정리할 수 있었고 꾸준함을 유지하는 데 도움이 됐어요,62
77,덕분에 학습에 대한 자신감이 생겼고 성적도 많이 향상되었어요.,성적표 피드백이 꾸준히 진행되어 지원 방향을 구체적으로 정하는 데 도움이 됐어요,44
78,재수 생활을 시작하며 막막했던 제게 학습코칭은 단순한 스케줄 관리를 넘어선 '터닝 포인트'였어요.,과목별 우선순위는 꾸준히 이어져 공부량을 꾸준히 관리하며 루틴을 유지할 수 있었어요,46
79,등원하고 하원할 때마다 반갑게 맞아주시는 카운터 선생님들 감사를 드리고 상담도 잘해주시고 항상 학생들 예뻐해 주시는 원장선생님께도 감사드립니었어요.,수험 생활 상담이 정기적으로 진행되어 작은 고민도 편하게 나눌 수 있어 안정감이 생겼어요,49
80,이투스에 플래너 관리 시스템은 하루 단위로 학습 계획을 구체적으로 세우고 실천하도록 도와주어 시간 낭비를 줄이고 효율적인 공부가 가능하게 해주었어요.,플래너 관리 관리와 피드백으로 과목별 균형을 맞추며 공부하는 데 도움이 됐고 집중 시간을 늘리는 데 도움이 됐어요,63
81,매달 치르는 모의고사 성적표로 개인 상담을 진행했을때 과목별로 현재 부족한 점과 보안할 점을 자세히 알려주셨었어요.,모의고사 분석이 꾸준히 진행되어 시험 후 흔들리지 않고 다시 준비할 수 있었어요,44
82,공부에만 더욱 집중할 수 있었어요.,집중된 학습 공간 덕분에 함께 노력하는 분위기에서 동기부여를 받을 수 있었고 공부 루틴도 더 안정됐어요,57
83,학습과 생활 전반을 꼼꼼히 챙겨 주셔서 진심으로 감사드립니었어요.,출결 관리 관리와 피드백으로 하루 루틴이 일정해져 체력 관리에도 도움이 됐고 학습 태도도 자연스럽게 좋아졌어요,61
84,종례때마다 해주시는 덕담과 조언이 재수생활 많은 도움이 됐던것 같았어요.,휴대폰 관리는 체계적으로 이루어져 수능에 맞춘 생활 패턴을 익힐 수 있었고 꾸준함을 유지하는 데 도움이 됐어요,61
85,"면학 분위기와 졸음 관리를 보고 학원에 등록했을 정도로 이를 중요하게 생각하였는데, 관리가 매우 철저하게 이루어져 학습에 큰 도움이 되었어요.",졸음 관리 관리와 피드백으로 공부 외적인 고민을 줄이고 학습에 몰입했고 스스로 관리하는 힘도 생겼어요,56
86,항상 웃음으로 대해주셔서 힘든 반수생 생활이 덕분에 덜 힘들었어요.,등·하원 관리는 체계적으로 이루어져 수능에 맞춘 생활 패턴을 익힐 수 있었고 공부 방향을 잡는 데 도움이 됐어요,62
87,"학습멘토 선생님들은 국어, 수학 두분이셨는데 특히나 수학에서 너무나많은 도움을 받았었어요.",국어·수학 상담을 활용하며 반복 학습의 기준이 생겨 꾸준히 공부할 수 있었고 하루 흐름도 더 안정적으로 이어졌어요,63
88,철저한 출결 및 생활 관리 시스템 덕분에 나태해지지 않고 꾸준히 순공 시간을 달성했어요.,출결 관리 관리와 피드백으로 불필요한 방해 요소를 줄일 수 있었고 집중 시간을 늘리는 데 도움이 됐어요,57
89,관리를 해주는 사람이 있으니 경고나 졸음주의를 받지 않도록 생활을 해야겠다 생각을 했던것 같았어요.,졸음 관리 관리와 피드백으로 나태해지지 않고 공부 리듬을 지킬 수 있었고 수험 생활에도 큰 도움이 됐어요,58
90,엄격하지만 따뜻한 면학 분위기 속에서 오직 학습에만 100% 몰입할 수 있었어요.,면학 분위기 관리와 피드백으로 학원에 있는 동안 자연스럽게 공부에 몰입할 수 있었어요,47
91,"공부 시간과 휴식 시간을 균형 있게 조절할 수 있어 집중력이 높아졌고, 스스로 계획을 지키는 습관을 기르는 데 큰 도움이 되었어요.",진도 관리는 꾸준히 이어져 공부량을 꾸준히 관리하며 루틴을 유지할 수 있었고 학습 태도도 자연스럽게 좋아졌어요,61
92,좋은 학습 분위기를 제공해주셔서 감사드립니었어요.,함께 공부하는 분위기 덕분에 차분한 긴장감 속에서 집중력을 유지할 수 있었고 꾸준함을 유지하는 데 도움이 됐어요,62
93,한 과목에만 집중하면 다른 과목으로 넘어가라는 피드백도 받을 수 있었어요.,차분한 학원 분위기는 잘 유지되어 오래 앉아 공부하는 습관을 만들 수 있었고 스스로 관리하는 힘도 생겼어요,59
94,개인별 맞춤형으로 진행되는 1대1 상담 시스템이 수험 생활에 큰 도움이 되었어요.,생활 상담 관리와 피드백으로 공부와 생활을 균형 있게 관리하는 데 도움이 됐어요,44
95,"수면패턴과 낮잠 시간등의 조화를 깨닫게해주심, 원래 잠이 많은 학생이라 고치고 싶었는데 이 과정에 많은 도움을 주셨었어요.",졸음 관리 관리와 피드백으로 집중력이 흐트러질 때 다시 바로잡을 수 있었고 하루 흐름도 더 안정적으로 이어졌어요,62
96,학습환경 학습 분위기 등을 잡아주셔서 도움이 되었어요.,규칙이 분명한 환경 덕분에 함께 노력하는 분위기에서 동기부여를 받을 수 있었어요,44
97,학원 다닐 때 너무 스트레스를 많이 받았는데 담임 선생님과 상담을 받으면서 많이 극복했어요.,공부법 상담은 정기적으로 진행되어 취약점을 객관적으로 확인하고 보완 계획을 세웠어요,46
98,학습 환경이 적절한지 체크하며 관리해주셔서 편하게 공부할 수 있었어요.,학습에 맞춰진 공간은 잘 유지되어 혼자 공부할 때보다 더 꾸준히 몰입할 수 있었어요,46
99,어려운 문제가 있을 때 온라인이나 오프라인으로 상담 신청을 하면 바로 답변을 해주셔서 더 편리하게 공부할 수 있었어요.,목표 설정 상담은 정기적으로 진행되어 공부 방법을 구체적으로 바꿔볼 수 있었어요,44
100,"올해도 건강하시고, 행복한 한해 되시길 바라요 덕분에 원하는 대학 왔구 정신적으로든 성적으로든 도움 너무 많이 받았고, 조만간 한번 찾아뵙겠었어요.",성적표 피드백 관리와 피드백으로 지원 방향을 구체적으로 정하는 데 도움이 됐어요,44
101,학습 보조 및 관리 측면에서는 제 성적을 누군가 지속적으로 점검해준다는 점에서 항상 긴장감을 유지하며 시험에 임할 수 있어 도움이 되었어요.,성적표 피드백 관리와 피드백으로 결과를 감정적으로만 보지 않고 분석할 수 있었어요,45
102,"전자출결 시스템을 통해 출석 관리가 체계적으로 이루어져 스스로 학습 태도를 점검할 수 있었고, 지각이나 결석을 줄이는 데에도 도움이 되었어요.",출결 관리 관리와 피드백으로 스스로 생활을 점검하는 계기가 됐고 공부 방향을 잡는 데 도움이 됐어요,55
103,학습습관 형성 및 성적향상을 위한 여러 지도 감사드립니었어요.,성적표 피드백 관리와 피드백으로 취약 유형을 확인해 반복적으로 보완할 수 있었어요,45
104,담임 선생님의 세심한 멘탈 케어와 학습 상담이 수험 생활의 큰 버팀목이 되었어요.,생활 상담 관리와 피드백으로 상담 후 해야 할 일이 명확해져 실천력이 높아졌어요,44
105,학생들을 정말 진심으로 아끼시는 분이 담임이라 버틸 수 있었어요.,정기 학습 상담을 받으며 공부와 생활을 균형 있게 관리하는 데 도움이 됐고 수험 생활에도 큰 도움이 됐어요,59
106,매일 플래너를 점검받고 피드백을 얻으면서 완벽한 학습 루틴을 만들 수 있었어요.,플래너 관리 관리와 피드백으로 부족한 부분을 확인하고 바로 보완할 수 있었고 공부 루틴도 더 안정됐어요,57
107,철저한 출결 및 생활 관리 시스템 덕분에 나태해지지 않고 꾸준히 순공 시간을 달성했어요.,출결 관리 관리와 피드백으로 공부에만 집중할 수 있는 환경이 만들어졌고 학습 태도도 자연스럽게 좋아졌어요,58
108,"하루 공부량을 체계적으로 관리할 수 있었고, 생활 패턴도 규칙적으로 유지하는 데 도움이 되었어요.",공부량 관리는 꾸준히 이어져 부족한 부분을 확인하고 바로 보완할 수 있었고 꾸준함을 유지하는 데 도움이 됐어요,61
109,반복되는 수험 생활 속에서 지칠 때마다 진행된 생활 상담이 큰 힘이 되었어요.,생활 상담 관리와 피드백으로 작은 고민도 편하게 나눌 수 있어 안정감이 생겼어요,44
110,엄격하지만 따뜻한 면학 분위기 속에서 오직 학습에만 100% 몰입할 수 있었어요.,면학 분위기 관리와 피드백으로 공부 시간을 더 효율적으로 사용할 수 있었고 공부 방향을 잡는 데 도움이 됐어요,61
111,하루에 잠자는 시간말고는 거의 학원에 있었는데 학습 분위기도 좋고 상담도 잘 해주셔서 불편하지 않게 공부 열심히 잘 한 것 같습니다 감사합니다 요.,담임 상담은 정기적으로 진행되어 취약점을 객관적으로 확인하고 보완 계획을 세웠어요,45
112,"학습계획과 플래너 관리를 통해 하루 공부 흐름을 체계적으로 정리할 수 있었고, 목표를 구체적으로 세워 실천하는 데 큰 도움이 되었어요.",플래너 관리 관리와 피드백으로 다음 학습 목표가 분명해져 불안감이 줄었고 집중 시간을 늘리는 데 도움이 됐어요,61
113,휴대폰을 수거함으로써 공부에 온전히 집중할 수 있는 환경을 조성할 수 있었어요.,휴대폰 관리는 체계적으로 이루어져 작은 습관까지 바로잡으며 집중 시간을 늘렸어요,44
114,원서를 어디에 써야하는지 몰라서 헤매고 있을 때 상담을 성적에 맞게 잘 해주셔서 너무 좋았어요.,성적표 피드백 관리와 피드백으로 시험 전략을 점검하며 실수를 줄일 수 있었고 공부 루틴도 더 안정됐어요,57
115,담임 선생님의 세심한 멘탈 케어와 학습 상담이 수험 생활의 큰 버팀목이 되었어요.,생활 상담 관리와 피드백으로 제 상황에 맞는 공부 방향을 잡을 수 있었고 학습 태도도 자연스럽게 좋아졌어요,59
